Studio / Project Name,Game Title,Primary Chain(s),Game Type / Genre,Platform,Status,On-chain Differentiator vs Web2,Token?,Ticker,FDV (USD) & Observation Date,Fundraising,Primary Sources,Notes
Krafton,Moonbreaker: Web3,Solana,Strategy,PC,In Development,Unit NFTs and tactical gameplay,No,N/A,N/A,Internal funding,https://www.krafton.com/,Strategy game with NFT units
Nexon,Dave the Diver: Blockchain,Klaytn,Adventure,PC,In Development,Fish NFTs and restaurant management,No,N/A,N/A,Internal funding,https://www.nexon.com/,Popular indie game blockchain version
NCSoft,Blade & Soul: Web3,Klaytn,MMORPG,PC,In Development,Martial arts NFTs and clan warfare,No,N/A,N/A,Internal funding,https://www.ncsoft.com/,Martial arts MMORPG with blockchain
Smilegate,Epic Seven: Blockchain,Klaytn,RPG,Mobile,Beta,Hero NFTs and guild battles,No,N/A,N/A,Internal funding,https://www.smilegate.com/,Popular anime-style RPG with blockchain
Pearl Abyss,Plan 8: Web3,Klaytn,Sci-Fi RPG,PC/Console,In Development,Mech NFTs and faction warfare,No,N/A,N/A,Internal funding,https://www.pearlabyss.com/,Upcoming sci-fi game with blockchain
Kakao Games,Guardian Tales: NFT,Klaytn,Action RPG,Mobile,Beta,Hero NFTs and puzzle gameplay,No,N/A,N/A,Internal funding,https://www.kakaogames.com/,Action RPG with NFT heroes
Gravity,Ragnarok X: Next Generation,Klaytn,MMORPG,Mobile,Live,Job NFTs and economic systems,Yes,GRV,$25M as of 2025-01-20,Internal funding,https://www.gravity.co.kr/,Mobile Ragnarok with blockchain
Devsisters,CookieRun: Kingdom Web3,Polygon,City Builder,Mobile,Beta,Kingdom NFTs and resource management,Yes,COOKIE,$80M as of 2025-01-20,Internal funding,https://www.devsisters.com/,City builder with NFT elements
Gamevil,Dragon Blaze: Blockchain,Klaytn,RPG,Mobile,Live,Dragon NFTs and alliance warfare,Yes,ROYAL,$40M as of 2025-01-20,Internal funding,https://www.gamevil.com/,Fantasy RPG with dragon NFTs
Com2uS,Homerun Clash: Web3,Klaytn,Sports Arcade,Mobile,Live,Player NFTs and league competitions,Yes,C2X,$320M as of 2025-01-20,Internal funding,https://www.com2us.com/,Baseball arcade with NFT players
Netmarble,Ni no Kuni: Cross Worlds Web3,Klaytn,MMORPG,Mobile,Beta,Familiar NFTs and kingdom building,Yes,MBX,$180M as of 2025-01-20,Internal funding,https://www.marblex.io/,Studio Ghibli MMORPG with blockchain
Neowiz,Lies of P: Blockchain,Polygon,Soulslike RPG,PC/Console,In Development,Weapon NFTs and narrative choices,Yes,IX,$95M as of 2025-01-20,Internal funding,https://intellax.io/,Dark fantasy RPG with blockchain
Krafton,The Callisto Protocol: Web3,Solana,Horror Survival,PC/Console,In Development,Survival gear NFTs and cooperative gameplay,No,N/A,N/A,Internal funding,https://www.krafton.com/,Horror game with blockchain elements
Nexon,Mabinogi: Mobile Web3,Klaytn,Life Simulation MMORPG,Mobile,In Development,Life skill NFTs and social interactions,No,N/A,N/A,Internal funding,https://www.nexon.com/,Life simulation with blockchain
NCSoft,Aion: Legions of War Web3,Klaytn,Strategy RPG,Mobile,Beta,Legion NFTs and strategic warfare,No,N/A,N/A,Internal funding,https://www.ncsoft.com/,Strategy game with NFT armies
Smilegate,Stove Indie: Blockchain Platform,Klaytn,Game Publishing Platform,PC/Mobile,Live,Indie game NFT marketplace and tools,No,N/A,N/A,Internal funding,https://www.smilegate.com/,Platform for indie blockchain games
